Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork
35,No,Unknown,776.0,1,4,Marketing,"100,0",3,M,32.0,2,2, Sales Executive ,1,Single,6463.923076923077,23016,0,No,14,Unknown,2,0,"16,0",2,3,15,2,8,1988,no
46,No,travel_rarely,526.0,1,2,Unknown,"244,0",2,F,92.0,3,3, Sales Executive ,1,Divorced,6463.923076923077,2137,1,No,25,"4,0",3,3,"24,0",2,3,24,15,7,1977,yes
43,No,Unknown,1034.0,16,3,Unknown,"327,0",4,F,80.0,3,4, Manager ,4,Married,16064.0,7744,5,Unknown,22,"4,0",3,1,"22,0",3,3,17,1,9,1980,yes
36,No,Unknown,1403.0,6,3,Life Sciences,"373,0",4,M,47.0,3,1, Laboratory Technician ,4,Married,3210.0,20251,0,Unknown,11,"3,0",3,1,"16,0",4,3,15,10,11,1987,yes
40,No,travel_frequently,580.0,5,4,Unknown,"729,0",4,M,48.0,2,3, Sales Executive ,1,Married,10475.0,23772,5,Yes,21,"4,0",3,1,"20,0",2,3,18,1,12,1983,no
32,No,travel_rarely,859.0,4,3,Unknown,"830,0",3,F,98.0,2,2, Manufacturing Director ,3,Married,6162.0,19124,1,No,12,"3,0",3,1,"14,0",3,3,14,6,8,1991,no
53,No,Unknown,1376.0,2,2,Medical,"981,0",3,M,65.96954813359528,3,4, Manager ,3,Divorced,6463.923076923077,13938,6,No,13,"3,0",3,1,"22,0",3,4,17,15,2,1970,no
36,Yes,travel_rarely,885.0,16,4,Unknown,"1042,0",3,F,43.0,4,1, Laboratory Technician ,1,Single,6463.923076923077,8269,1,Unknown,16,"3,0",3,0,"18,0",1,3,17,15,14,1987,yes
46,No,Unknown,1003.0,8,4,Life Sciences,"1080,0",4,F,74.0,2,2, Research Scientist ,1,Divorced,4615.0,21029,8,Yes,23,"4,0",1,3,Unknown,2,3,16,1,7,1977,no
38,No,travel_rarely,1321.0,1,4,Unknown,"1995,0",4,M,86.0,3,2, Sales Executive ,2,Married,6463.923076923077,7636,0,No,15,"3,0",1,2,"16,0",3,3,15,5,8,1985,yes
51,No,Unknown,803.129648241206,1,4,Unknown,"145,0",1,F,30.0,2,3, Healthcare Representative ,1,Single,6463.923076923077,25796,3,Unknown,20,"4,0",3,0,"23,0",1,2,13,12,8,1972,yes
43,No,Unknown,394.0,26,2,Unknown,"158,0",3,M,92.0,3,4, Manager ,4,Married,16959.0,19494,1,Yes,12,"3,0",4,2,"25,0",3,4,25,4,12,1980,yes
37,No,Unknown,1372.0,1,3,Life Sciences,"391,0",4,F,42.0,3,1, Research Scientist ,4,Single,6463.923076923077,15881,1,No,12,"3,0",2,0,Unknown,3,3,17,5,7,1986,yes
32,No,travel_rarely,803.129648241206,8,2,Technical Degree,"436,0",3,F,65.0,2,2, Sales Executive ,2,Married,6463.923076923077,24624,1,Yes,11,"3,0",4,0,Unknown,2,3,13,11,9,1991,yes
46,No,Unknown,228.0,3,3,Life Sciences,"1527,0",3,F,51.0,3,4, Manager ,2,Unknown,6463.923076923077,11380,8,No,12,"3,0",4,1,"23,0",2,4,13,5,1,1977,yes
43,No,Unknown,823.0,6,3,Medical,"1866,0",1,F,81.0,2,5, Manager ,3,Married,6463.923076923077,22539,7,No,13,"3,0",4,0,"21,0",2,3,16,6,14,1980,yes
56,No,non-travel,667.0,1,4,Life Sciences,"2026,0",3,M,57.0,3,2, Healthcare Representative ,3,Divorced,6463.923076923077,26236,1,No,21,Unknown,1,1,Unknown,2,2,13,1,9,1967,yes
38,No,Unknown,573.0,6,3,Medical,"107,0",2,F,79.0,1,2, Research Scientist ,4,Unknown,6463.923076923077,15717,7,Unknown,12,"3,0",4,3,"17,0",3,3,13,1,9,1985,yes
49,No,Unknown,803.129648241206,26,4,Medical,"170,0",3,F,96.0,3,2, Manufacturing Director ,1,Unknown,6463.923076923077,5549,1,No,14,"3,0",3,0,"16,0",2,2,15,5,11,1974,no
40,No,Unknown,630.0,4,4,Unknown,"215,0",3,M,67.0,2,3, Sales Executive ,4,Married,10855.0,8552,7,No,11,Unknown,1,1,"15,0",2,2,12,2,11,1983,yes
36,No,Unknown,803.129648241206,5,2,Unknown,"304,0",4,M,62.0,3,2, Laboratory Technician ,2,Single,5914.0,9945,8,No,16,"3,0",4,0,"16,0",3,4,13,3,7,1987,yes
37,No,Unknown,1063.0,25,5,Unknown,"529,0",2,F,72.0,3,2, Research Scientist ,3,Married,6463.923076923077,23866,3,Yes,15,"3,0",1,2,"15,0",2,3,13,10,7,1986,no
35,No,Unknown,1017.0,6,4,Unknown,"691,0",2,M,82.0,1,2, Research Scientist ,4,Unknown,6646.0,19368,1,Unknown,13,"3,0",2,0,Unknown,3,3,17,11,8,1988,yes
33,No,travel_frequently,1296.0,6,3,Life Sciences,"692,0",3,M,65.96954813359528,3,2, Healthcare Representative ,4,Divorced,6463.923076923077,5335,3,No,23,"4,0",3,1,"15,0",2,1,13,4,7,1990,no
50,No,travel_rarely,939.0,24,3,Unknown,"1005,0",4,M,65.96954813359528,3,4, Manufacturing Director ,3,Married,13973.0,4161,3,Yes,18,"3,0",4,1,"22,0",2,3,12,1,5,1973,no
48,No,travel_rarely,1355.0,4,4,Unknown,"1024,0",3,M,78.0,2,3, Healthcare Representative ,3,Single,6463.923076923077,22245,7,Unknown,14,Unknown,2,0,"27,0",3,3,15,4,8,1975,yes
44,No,travel_rarely,1448.0,28,3,Unknown,"1039,0",4,F,53.0,4,4, Sales Executive ,4,Married,13320.0,11737,3,Unknown,18,"3,0",3,1,Unknown,2,3,12,11,11,1979,yes
44,No,travel_rarely,200.0,29,4,Unknown,"1225,0",4,M,32.0,3,2, Research Scientist ,4,Single,6463.923076923077,7744,1,Unknown,25,"4,0",2,0,Unknown,3,3,20,13,17,1979,yes
40,No,Unknown,1202.0,25,1,Unknown,"1375,0",25,F,89.0,4,2, Healthcare Representative ,3,Unknown,6463.923076923077,13888,5,No,20,"4,0",2,3,"15,0",0,3,12,11,8,1983,yes
49,No,Unknown,465.0,6,1,Life Sciences,"1661,0",3,F,41.0,2,4, Healthcare Representative ,3,Unknown,6463.923076923077,11652,2,Unknown,19,"3,0",2,1,Unknown,3,3,15,2,12,1974,yes
38,No,travel_frequently,1189.0,1,3,Life Sciences,"1668,0",4,M,90.0,3,2, Research Scientist ,4,Unknown,4735.0,9867,7,No,15,"3,0",4,2,"19,0",4,3,13,2,9,1985,yes
33,No,Unknown,803.129648241206,21,3,Unknown,"1698,0",2,M,79.0,4,1, Laboratory Technician ,2,Unknown,6463.923076923077,13637,1,No,18,"3,0",4,3,"14,0",6,3,14,2,13,1990,yes
38,No,Unknown,1394.0,8,3,Unknown,"1937,0",4,F,58.0,2,2, Research Scientist ,2,Divorced,6463.923076923077,18115,1,Unknown,16,"3,0",3,1,"20,0",3,3,20,0,7,1985,no
37,No,travel_rarely,161.0,10,3,Life Sciences,"2017,0",3,F,42.0,4,3, Research Director ,4,Unknown,6463.923076923077,15471,1,Yes,25,"4,0",1,1,"16,0",2,3,16,6,8,1986,yes
30,No,Unknown,288.0,2,3,Unknown,"117,0",3,M,99.0,2,2, Healthcare Representative ,4,Married,6463.923076923077,15830,1,No,19,Unknown,1,3,"11,0",3,3,11,10,8,1993,yes
58,No,travel_rarely,682.0,18,4,Unknown,"131,0",4,M,37.0,3,4, Sales Executive ,3,Single,13872.0,24409,0,Unknown,13,"3,0",3,0,"38,0",1,2,37,1,8,1965,yes
34,No,travel_rarely,1354.0,5,3,Unknown,"153,0",3,F,45.0,2,3, Manager ,1,Single,6463.923076923077,5615,2,Unknown,12,"3,0",4,0,"14,0",6,3,11,5,8,1989,no
38,No,Unknown,119.0,3,3,Life Sciences,"307,0",1,M,76.0,3,3, Sales Executive ,3,Divorced,6463.923076923077,9647,0,Unknown,12,"3,0",3,2,Unknown,6,2,16,5,13,1985,yes
55,No,travel_rarely,452.0,1,3,Medical,"374,0",4,M,81.0,3,5, Manager ,1,Single,19045.0,18938,0,Unknown,14,"3,0",3,0,"37,0",2,3,36,4,13,1968,yes
31,No,Unknown,480.0,30,2,Unknown,"524,0",2,F,31.0,3,2, Manufacturing Director ,1,Married,4306.0,4156,1,No,12,"3,0",2,1,"13,0",5,1,13,3,12,1992,yes
50,No,travel_rarely,1099.0,27,4,Life Sciences,"569,0",27,M,88.0,2,4, Manager ,3,Married,17046.0,9314,0,No,15,"3,0",2,1,"28,0",2,3,27,15,7,1973,yes
35,No,Unknown,672.0,25,3,Technical Degree,"899,0",4,M,78.0,2,3, Manufacturing Director ,2,Married,6463.923076923077,9129,3,No,16,Unknown,1,0,Unknown,2,3,13,4,8,1988,no
35,No,Unknown,583.0,25,4,Unknown,"1014,0",3,F,57.0,3,3, Healthcare Representative ,3,Divorced,6463.923076923077,6975,1,Yes,11,Unknown,3,1,Unknown,3,2,16,10,1,1988,yes
45,No,Unknown,1050.0,9,4,Life Sciences,"1117,0",2,F,65.0,2,2, Sales Executive ,3,Married,6463.923076923077,17970,1,Unknown,13,"3,0",4,1,"15,0",2,3,15,4,12,1978,no
33,No,Unknown,117.0,9,3,Medical,"1238,0",1,M,60.0,3,1, Research Scientist ,4,Married,6463.923076923077,6311,0,Unknown,13,"3,0",2,1,"15,0",5,3,14,4,10,1990,no
45,Yes,Unknown,803.129648241206,13,3,Marketing,"1277,0",1,F,94.0,1,5, Manager ,2,Unknown,6463.923076923077,2493,2,Yes,16,"3,0",1,0,"26,0",2,3,24,1,11,1978,yes
34,No,travel_rarely,1440.0,7,2,Technical Degree,"1541,0",2,M,55.0,3,1, Sales Representative ,3,Unknown,2308.0,4944,0,Yes,25,"4,0",2,1,"12,0",4,3,11,5,7,1989,no
43,No,travel_rarely,1291.0,15,2,Unknown,"1666,0",3,M,65.0,2,4, Research Director ,3,Unknown,6463.923076923077,3525,1,No,24,"4,0",1,1,Unknown,3,3,14,6,11,1980,yes
34,No,Unknown,1157.0,5,2,Medical,"1696,0",2,M,57.0,2,2, Laboratory Technician ,4,Unknown,6463.923076923077,11912,1,No,14,"3,0",3,1,Unknown,3,3,15,4,13,1989,no
38,No,Unknown,1336.0,2,3,Unknown,"1805,0",1,M,100.0,3,1, Human Resources ,2,Divorced,6463.923076923077,7129,5,No,13,"3,0",4,3,"13,0",3,3,11,3,8,1985,yes
34,No,Unknown,735.0,22,4,Other,"1932,0",3,M,86.0,2,2, Research Scientist ,4,Married,5747.0,26496,1,Yes,15,"3,0",2,0,"16,0",3,3,15,6,11,1989,no
32,No,travel_rarely,803.129648241206,31,4,Unknown,"2016,0",31,F,48.0,3,3, Sales Executive ,4,Unknown,10422.0,24032,1,No,19,"3,0",3,2,"14,0",3,3,14,5,7,1991,yes
29,No,travel_rarely,1389.0,21,4,Life Sciences,"20,0",2,F,51.0,4,3, Manufacturing Director ,1,Divorced,6463.923076923077,10195,1,No,11,"3,0",3,1,"10,0",1,3,10,8,8,1994,no
30,No,Unknown,1240.0,9,3,Unknown,"184,0",3,M,48.0,3,2, Human Resources ,4,Married,6347.0,13982,0,Yes,19,"3,0",4,0,Unknown,2,1,11,4,7,1993,no
45,No,Unknown,194.0,9,3,Life Sciences,"206,0",2,M,60.0,3,2, Laboratory Technician ,2,Unknown,2348.0,10901,8,No,18,"3,0",3,1,"20,0",2,3,17,0,15,1978,yes
30,No,travel_rarely,1339.0,5,3,Unknown,"228,0",2,F,41.0,3,3, Sales Executive ,4,Unknown,6463.923076923077,8053,2,No,12,"3,0",3,1,Unknown,2,3,10,7,4,1993,yes
30,No,Unknown,111.0,9,3,Unknown,"239,0",3,M,66.0,3,2, Laboratory Technician ,1,Unknown,3072.0,11012,1,No,11,Unknown,3,2,"12,0",4,3,12,6,10,1993,yes
34,No,travel_frequently,803.129648241206,29,1,Unknown,"256,0",4,M,45.0,2,2, Manufacturing Director ,3,Married,6463.923076923077,14074,1,Unknown,17,"3,0",3,0,"10,0",2,2,10,1,9,1989,no
34,No,Unknown,470.0,39,4,Life Sciences,"339,0",39,M,84.0,2,2, Manufacturing Director ,1,Unknown,6463.923076923077,23687,6,Unknown,13,"3,0",2,1,"13,0",3,3,11,5,9,1989,yes
35,No,travel_rarely,1232.0,16,3,Unknown,"406,0",3,M,96.0,3,3, Sales Executive ,2,Married,8020.0,5100,0,Unknown,15,"3,0",3,2,"12,0",3,2,11,6,9,1988,yes
39,No,Unknown,117.0,10,1,Unknown,"429,0",3,M,99.0,3,4, Manager ,1,Married,17068.0,5355,1,Unknown,14,Unknown,4,0,"21,0",3,3,21,11,10,1984,yes
39,No,Unknown,672.0,7,2,Unknown,"444,0",3,M,54.0,2,5, Manager ,4,Married,19272.0,21141,1,Unknown,15,"3,0",1,1,Unknown,2,3,21,13,3,1984,yes
45,No,travel_rarely,549.0,8,4,Unknown,"452,0",4,M,75.0,3,2, Research Scientist ,4,Unknown,6463.923076923077,9278,9,No,14,"3,0",1,2,"12,0",3,3,10,9,8,1978,yes
30,No,travel_rarely,570.0,5,3,Marketing,"456,0",4,F,30.0,2,2, Sales Executive ,3,Unknown,6463.923076923077,5431,1,Unknown,13,"3,0",3,3,"10,0",2,3,10,1,2,1993,yes
36,No,Unknown,541.0,3,4,Medical,"481,0",1,M,48.0,2,3, Sales Executive ,4,Married,6463.923076923077,7246,4,No,11,"3,0",1,1,"16,0",2,3,13,1,12,1987,yes
36,No,travel_rarely,164.0,2,2,Unknown,"513,0",2,M,61.0,2,3, Sales Executive ,3,Married,6463.923076923077,3809,1,Unknown,13,"3,0",2,2,"10,0",2,3,10,9,0,1987,yes
55,No,travel_rarely,1117.0,18,5,Unknown,"597,0",1,F,83.0,3,4, Manager ,2,Single,6463.923076923077,9873,3,No,23,"4,0",4,0,"37,0",2,3,10,7,7,1968,yes
35,No,Unknown,619.0,1,3,Unknown,"600,0",2,M,85.0,3,2, Sales Executive ,3,Unknown,6463.923076923077,18659,9,Unknown,11,"3,0",3,0,"15,0",2,3,11,6,9,1988,yes
52,No,travel_rarely,956.0,6,2,Unknown,"630,0",4,M,78.0,3,2, Research Scientist ,1,Divorced,5577.0,22087,3,Yes,12,Unknown,2,2,"18,0",3,3,10,6,9,1971,yes
49,No,Unknown,1245.0,18,4,Life Sciences,"638,0",4,M,58.0,2,5, Research Director ,3,Unknown,6463.923076923077,2125,1,Yes,17,"3,0",3,1,Unknown,5,3,31,0,9,1974,yes
34,No,travel_rarely,1397.0,1,5,Unknown,"683,0",2,M,42.0,3,1, Research Scientist ,4,Married,2691.0,7660,1,No,12,"3,0",4,1,Unknown,4,2,10,8,8,1989,yes
33,Yes,travel_rarely,527.0,1,4,Other,"780,0",4,M,63.0,3,1, Research Scientist ,4,Single,6463.923076923077,5207,1,Unknown,13,"3,0",3,0,"10,0",2,2,10,7,8,1990,no
33,No,Unknown,213.0,7,3,Medical,"817,0",3,M,49.0,3,3, Research Director ,3,Married,6463.923076923077,25995,0,No,11,"3,0",4,0,Unknown,3,4,13,3,7,1990,yes
53,No,travel_rarely,803.129648241206,23,4,Unknown,"901,0",4,F,72.0,3,4, Research Director ,4,Unknown,6463.923076923077,20206,6,No,18,"3,0",3,0,"33,0",0,3,12,3,8,1970,yes
49,No,travel_rarely,527.0,8,2,Other,"944,0",1,F,51.0,3,3, Laboratory Technician ,2,Married,7403.0,22477,4,Unknown,11,"3,0",3,1,"29,0",3,2,26,1,7,1974,no
35,No,Unknown,882.0,21,4,Unknown,"984,0",21,M,65.96954813359528,3,3, Sales Executive ,4,Unknown,6463.923076923077,6812,6,Unknown,13,"3,0",2,1,Unknown,2,3,10,0,8,1988,no
38,No,travel_rarely,330.0,17,1,Life Sciences,"1088,0",3,F,65.0,2,3, Healthcare Representative ,3,Married,8823.0,24608,0,Unknown,18,"3,0",1,1,"20,0",4,2,19,1,9,1985,no
46,No,Unknown,406.0,3,1,Marketing,"1124,0",1,M,65.96954813359528,3,4, Manager ,3,Married,6463.923076923077,15596,3,No,12,"3,0",4,1,Unknown,3,3,12,4,9,1977,no
42,Yes,travel_frequently,481.0,15,3,Life Sciences,"1167,0",15,M,44.0,3,4, Sales Executive ,1,Single,6463.923076923077,2447,0,Unknown,12,Unknown,2,0,Unknown,2,2,21,13,14,1981,yes
34,No,travel_frequently,669.0,1,3,Unknown,"1184,0",4,M,97.0,2,2, Healthcare Representative ,1,Single,6463.923076923077,25755,0,No,20,"4,0",3,0,"14,0",3,3,13,4,9,1989,yes
31,No,travel_rarely,1062.0,24,3,Medical,"1252,0",3,F,96.0,2,2, Healthcare Representative ,1,Single,6463.923076923077,17198,1,No,19,Unknown,2,0,"10,0",2,3,10,1,8,1992,no
44,No,Unknown,1099.0,5,3,Unknown,"1267,0",2,M,88.0,3,5, Manager ,2,Married,18213.0,8751,7,No,11,"3,0",3,1,"26,0",5,3,22,3,10,1979,yes
55,No,non-travel,177.0,8,1,Unknown,"1278,0",4,M,37.0,2,4, Healthcare Representative ,2,Divorced,13577.0,25592,1,Yes,15,"3,0",4,1,Unknown,3,3,33,15,0,1968,no
44,No,travel_rarely,1199.0,4,2,Life Sciences,"1288,0",3,M,92.0,4,5, Manager ,1,Divorced,19190.0,17477,1,No,14,"3,0",4,2,Unknown,4,2,25,14,13,1979,no
39,No,Unknown,412.0,13,4,Unknown,"1307,0",3,F,94.0,2,4, Manager ,2,Divorced,17123.0,17334,6,Yes,13,"3,0",4,2,Unknown,4,3,19,15,2,1984,no
55,No,travel_rarely,282.0,2,2,Medical,"1336,0",4,F,58.0,1,5, Manager ,3,Unknown,19187.0,6992,4,Unknown,14,Unknown,4,1,"23,0",5,3,19,9,11,1968,yes
51,No,Unknown,770.0,5,3,Life Sciences,"1352,0",3,M,84.0,3,4, Manager ,2,Unknown,6463.923076923077,17588,1,Unknown,11,"3,0",2,1,Unknown,2,3,33,0,10,1972,yes
58,Yes,Unknown,601.0,14,4,Medical,"1360,0",14,F,53.0,2,3, Manufacturing Director ,1,Married,10008.0,12023,7,Unknown,14,"3,0",4,0,Unknown,0,2,10,5,9,1965,yes
29,No,travel_rarely,332.0,17,3,Unknown,"1419,0",2,M,51.0,2,3, Human Resources ,1,Single,7988.0,9769,1,Unknown,13,"3,0",1,0,Unknown,3,2,10,0,9,1994,no
34,No,Unknown,1326.0,3,3,Other,"1478,0",4,M,81.0,1,2, Sales Executive ,1,Single,6463.923076923077,15891,3,No,18,Unknown,4,0,"15,0",2,3,13,3,12,1989,yes
42,No,travel_frequently,748.0,9,2,Unknown,"1480,0",1,F,74.0,3,1, Laboratory Technician ,4,Unknown,6463.923076923077,16458,1,Unknown,13,"3,0",3,0,"12,0",3,3,12,5,8,1981,yes
34,Yes,travel_rarely,790.0,24,4,Unknown,"1489,0",1,F,40.0,2,2, Sales Executive ,2,Single,6463.923076923077,7815,0,Yes,23,"4,0",3,0,"16,0",2,4,15,10,10,1989,no
54,No,travel_frequently,1050.0,11,4,Medical,"1520,0",2,F,87.0,3,4, Manager ,4,Unknown,6463.923076923077,24456,3,No,20,Unknown,1,1,"26,0",2,3,14,1,12,1969,yes
34,No,travel_rarely,971.0,1,3,Unknown,"1535,0",4,M,64.0,2,3, Sales Executive ,3,Unknown,7083.0,12288,1,Unknown,14,"3,0",4,0,Unknown,3,3,10,8,6,1989,no
29,No,Unknown,1370.0,3,1,Medical,"1586,0",2,M,87.0,3,1, Laboratory Technician ,1,Single,4723.0,16213,1,Unknown,18,"3,0",4,0,Unknown,3,3,10,1,5,1994,yes
35,No,travel_rarely,750.0,28,3,Life Sciences,"1596,0",2,M,46.0,4,2, Laboratory Technician ,3,Unknown,3407.0,25348,1,Unknown,17,Unknown,4,2,Unknown,3,2,10,6,8,1988,yes
35,Yes,Unknown,880.0,12,4,Other,"1667,0",4,M,36.0,3,2, Sales Executive ,4,Unknown,6463.923076923077,10414,3,Unknown,24,"4,0",1,0,"13,0",2,4,11,6,7,1988,yes
34,No,travel_rarely,678.0,19,3,Life Sciences,"1701,0",2,F,35.0,2,1, Research Scientist ,4,Married,2929.0,20338,1,No,12,"3,0",2,0,"10,0",3,3,10,8,7,1989,yes
43,No,Unknown,1179.0,2,3,Unknown,"1706,0",4,M,73.0,3,2, Sales Executive ,4,Unknown,6463.923076923077,6069,1,Yes,17,"3,0",1,1,"10,0",3,3,10,8,8,1980,no
43,No,travel_rarely,574.0,11,3,Life Sciences,"1971,0",1,M,30.0,3,3, Healthcare Representative ,3,Married,6463.923076923077,16873,1,Unknown,17,"3,0",2,1,"10,0",1,3,10,0,9,1980,yes
42,No,Unknown,803.129648241206,23,2,Unknown,"1976,0",4,M,37.0,2,2, Research Scientist ,3,Single,6463.923076923077,14811,1,Unknown,12,"3,0",4,0,"20,0",2,3,20,3,7,1981,yes
40,No,Unknown,692.0,11,3,Technical Degree,"1985,0",4,F,73.0,3,2, Laboratory Technician ,3,Married,6463.923076923077,26849,1,Unknown,11,Unknown,1,1,"10,0",2,4,10,9,4,1983,yes
56,Yes,Unknown,310.0,7,2,Technical Degree,"2032,0",4,M,72.0,3,1, Laboratory Technician ,3,Married,6463.923076923077,3666,8,No,11,"3,0",4,1,"14,0",4,1,10,9,8,1967,yes
39,No,travel_rarely,722.0,33,1,Marketing,"2056,0",33,F,60.0,2,4, Sales Executive ,4,Unknown,12031.0,8828,0,Unknown,11,"3,0",1,1,Unknown,2,2,20,9,6,1984,yes
30,No,travel_frequently,721.0,1,2,Unknown,"57,0",3,F,58.0,3,2, Laboratory Technician ,4,Unknown,6463.923076923077,10781,1,Unknown,23,"4,0",4,0,"12,0",2,3,12,3,7,1993,yes
32,No,travel_rarely,427.0,1,3,Medical,"78,0",1,M,65.96954813359528,3,2, Manufacturing Director ,4,Married,6162.0,10877,1,Yes,22,"4,0",2,1,"9,0",3,3,9,7,8,1991,yes
30,No,travel_rarely,852.0,1,1,Life Sciences,"104,0",4,M,55.0,2,2, Laboratory Technician ,4,Married,5126.0,15998,1,Unknown,12,"3,0",3,2,Unknown,1,3,10,3,0,1993,no
46,Yes,Unknown,669.0,9,2,Medical,"118,0",3,M,64.0,2,3, Sales Executive ,4,Unknown,9619.0,13596,1,No,16,"3,0",4,0,"9,0",3,3,9,4,7,1977,no
30,No,travel_rarely,1334.0,4,2,Unknown,"121,0",3,F,63.0,2,2, Sales Executive ,2,Unknown,6463.923076923077,19760,1,Yes,12,"3,0",2,3,"11,0",4,2,11,2,7,1993,no
32,No,Unknown,1093.0,6,4,Unknown,"125,0",2,M,87.0,3,2, Sales Executive ,3,Single,5010.0,24301,1,No,16,"3,0",1,0,"12,0",0,3,11,5,7,1991,yes
32,No,Unknown,967.0,8,3,Marketing,"207,0",2,F,43.0,3,3, Sales Executive ,4,Single,6463.923076923077,15589,1,Unknown,14,"3,0",4,0,"9,0",2,3,9,3,7,1991,yes
