,ID_FK,Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,DateBirth
49,49,49,No,Unknown,6,1,Life Sciences,F,Unknown,1974
50,50,38,No,travel_frequently,1,3,Life Sciences,M,Unknown,1985
51,51,33,No,Unknown,21,3,Unknown,M,Unknown,1990
52,52,38,No,Unknown,8,3,Unknown,F,Divorced,1985
53,53,37,No,travel_rarely,10,3,Life Sciences,F,Unknown,1986
54,54,30,No,Unknown,2,3,Unknown,M,Married,1993
55,55,58,No,travel_rarely,18,4,Unknown,M,Single,1965
56,56,34,No,travel_rarely,5,3,Unknown,F,Single,1989
57,57,38,No,Unknown,3,3,Life Sciences,M,Divorced,1985
58,58,55,No,travel_rarely,1,3,Medical,M,Single,1968
59,59,31,No,Unknown,30,2,Unknown,F,Married,1992
60,60,50,No,travel_rarely,27,4,Life Sciences,M,Married,1973
61,61,35,No,Unknown,25,3,Technical Degree,M,Married,1988
62,62,35,No,Unknown,25,4,Unknown,F,Divorced,1988
63,63,45,No,Unknown,9,4,Life Sciences,F,Married,1978
64,64,33,No,Unknown,9,3,Medical,M,Married,1990
65,65,45,Yes,Unknown,13,3,Marketing,F,Unknown,1978
66,66,34,No,travel_rarely,7,2,Technical Degree,M,Unknown,1989
67,67,43,No,travel_rarely,15,2,Unknown,M,Unknown,1980
68,68,34,No,Unknown,5,2,Medical,M,Unknown,1989
69,69,38,No,Unknown,2,3,Unknown,M,Divorced,1985
70,70,34,No,Unknown,22,4,Other,M,Married,1989
71,71,32,No,travel_rarely,31,4,Unknown,F,Unknown,1991
72,72,29,No,travel_rarely,21,4,Life Sciences,F,Divorced,1994
73,73,30,No,Unknown,9,3,Unknown,M,Married,1993
74,74,45,No,Unknown,9,3,Life Sciences,M,Unknown,1978
75,75,30,No,travel_rarely,5,3,Unknown,F,Unknown,1993
76,76,30,No,Unknown,9,3,Unknown,M,Unknown,1993
77,77,34,No,travel_frequently,29,1,Unknown,M,Married,1989
78,78,34,No,Unknown,39,4,Life Sciences,M,Unknown,1989
79,79,35,No,travel_rarely,16,3,Unknown,M,Married,1988
80,80,39,No,Unknown,10,1,Unknown,M,Married,1984
81,81,39,No,Unknown,7,2,Unknown,M,Married,1984
82,82,45,No,travel_rarely,8,4,Unknown,M,Unknown,1978
83,83,30,No,travel_rarely,5,3,Marketing,F,Unknown,1993
84,84,36,No,Unknown,3,4,Medical,M,Married,1987
85,85,36,No,travel_rarely,2,2,Unknown,M,Married,1987
86,86,55,No,travel_rarely,18,5,Unknown,F,Single,1968
87,87,35,No,Unknown,1,3,Unknown,M,Unknown,1988
88,88,52,No,travel_rarely,6,2,Unknown,M,Divorced,1971
89,89,49,No,Unknown,18,4,Life Sciences,M,Unknown,1974
90,90,34,No,travel_rarely,1,5,Unknown,M,Married,1989
91,91,33,Yes,travel_rarely,1,4,Other,M,Single,1990
92,92,33,No,Unknown,7,3,Medical,M,Married,1990
93,93,53,No,travel_rarely,23,4,Unknown,F,Unknown,1970
94,94,49,No,travel_rarely,8,2,Other,F,Married,1974
95,95,35,No,Unknown,21,4,Unknown,M,Unknown,1988
96,96,38,No,travel_rarely,17,1,Life Sciences,F,Married,1985
97,97,46,No,Unknown,3,1,Marketing,M,Married,1977
98,98,42,Yes,travel_frequently,15,3,Life Sciences,M,Single,1981
99,99,34,No,travel_frequently,1,3,Unknown,M,Single,1989
100,100,31,No,travel_rarely,24,3,Medical,F,Single,1992
101,101,44,No,Unknown,5,3,Unknown,M,Married,1979
102,102,55,No,non-travel,8,1,Unknown,M,Divorced,1968
103,103,44,No,travel_rarely,4,2,Life Sciences,M,Divorced,1979
104,104,39,No,Unknown,13,4,Unknown,F,Divorced,1984
105,105,55,No,travel_rarely,2,2,Medical,F,Unknown,1968
106,106,51,No,Unknown,5,3,Life Sciences,M,Unknown,1972
107,107,58,Yes,Unknown,14,4,Medical,F,Married,1965
108,108,29,No,travel_rarely,17,3,Unknown,M,Single,1994
109,109,34,No,Unknown,3,3,Other,M,Single,1989
110,110,42,No,travel_frequently,9,2,Unknown,F,Unknown,1981
111,111,34,Yes,travel_rarely,24,4,Unknown,F,Single,1989
112,112,54,No,travel_frequently,11,4,Medical,F,Unknown,1969
113,113,34,No,travel_rarely,1,3,Unknown,M,Unknown,1989
114,114,29,No,Unknown,3,1,Medical,M,Single,1994
115,115,35,No,travel_rarely,28,3,Life Sciences,M,Unknown,1988
116,116,35,Yes,Unknown,12,4,Other,M,Unknown,1988
117,117,34,No,travel_rarely,19,3,Life Sciences,F,Married,1989
118,118,43,No,Unknown,2,3,Unknown,M,Unknown,1980
119,119,43,No,travel_rarely,11,3,Life Sciences,M,Married,1980
120,120,42,No,Unknown,23,2,Unknown,M,Single,1981
121,121,40,No,Unknown,11,3,Technical Degree,F,Married,1983
122,122,56,Yes,Unknown,7,2,Technical Degree,M,Married,1967
123,123,39,No,travel_rarely,33,1,Marketing,F,Unknown,1984
124,124,30,No,travel_frequently,1,2,Unknown,F,Unknown,1993
125,125,32,No,travel_rarely,1,3,Medical,M,Married,1991
126,126,30,No,travel_rarely,1,1,Life Sciences,M,Married,1993
127,127,46,Yes,Unknown,9,2,Medical,M,Unknown,1977
128,128,30,No,travel_rarely,4,2,Unknown,F,Unknown,1993
129,129,32,No,Unknown,6,4,Unknown,M,Single,1991
130,130,32,No,Unknown,8,3,Marketing,F,Single,1991
131,131,41,No,travel_rarely,34,3,Life Sciences,M,Divorced,1982
132,132,40,No,travel_rarely,4,1,Medical,F,Unknown,1983
133,133,45,No,Unknown,2,2,Unknown,M,Married,1978
134,134,32,Yes,travel_rarely,4,4,Unknown,M,Married,1991
135,135,30,No,non-travel,1,1,Life Sciences,M,Unknown,1993
136,136,37,No,Unknown,11,3,Unknown,M,Unknown,1986
137,137,40,No,Unknown,24,2,Technical Degree,M,Unknown,1983
138,138,32,No,travel_rarely,7,3,Life Sciences,M,Married,1991
139,139,38,No,Unknown,25,2,Life Sciences,F,Unknown,1985
140,140,30,No,travel_rarely,28,2,Unknown,F,Married,1993
141,141,39,No,Unknown,1,1,Unknown,M,Unknown,1984
142,142,60,No,Unknown,7,3,Life Sciences,F,Unknown,1963
143,143,30,No,Unknown,22,4,Other,F,Unknown,1993
144,144,31,No,travel_rarely,9,1,Unknown,M,Divorced,1992
145,145,33,Yes,Unknown,3,3,Life Sciences,M,Single,1990
146,146,50,No,Unknown,28,1,Medical,M,Married,1973
147,147,32,No,Unknown,24,4,Life Sciences,M,Unknown,1991
148,148,42,No,Unknown,29,3,Unknown,M,Unknown,1981
149,149,49,Yes,Unknown,11,3,Marketing,F,Married,1974
150,150,27,No,Unknown,5,1,Unknown,M,Divorced,1996
151,151,52,No,Unknown,26,4,Unknown,F,Married,1971
152,152,32,No,Unknown,5,2,Life Sciences,M,Unknown,1991
153,153,36,No,Unknown,14,1,Life Sciences,M,Unknown,1987
154,154,52,No,Unknown,1,2,Life Sciences,M,Married,1971
155,155,33,No,non-travel,17,3,Unknown,M,Single,1990
156,156,45,No,non-travel,23,2,Life Sciences,M,Unknown,1978
157,157,36,No,travel_rarely,12,5,Unknown,F,Unknown,1987
158,158,49,No,Unknown,8,4,Unknown,M,Unknown,1974
159,159,29,No,Unknown,6,1,Unknown,F,Married,1994
160,160,37,No,Unknown,1,3,Life Sciences,F,Married,1986
161,161,28,No,non-travel,1,3,Unknown,F,Married,1995
162,162,31,No,non-travel,2,4,Unknown,F,Unknown,1992
163,163,42,No,non-travel,2,1,Life Sciences,M,Unknown,1981
164,164,40,No,travel_rarely,2,3,Life Sciences,M,Single,1983
165,165,34,No,Unknown,15,2,Medical,F,Single,1989
166,166,58,No,travel_rarely,1,3,Unknown,F,Unknown,1965
167,167,31,Yes,travel_frequently,1,5,Unknown,F,Unknown,1992
168,168,53,No,Unknown,2,3,Medical,M,Single,1970
169,169,34,No,Unknown,15,3,Unknown,M,Unknown,1989
170,170,37,No,Unknown,13,3,Unknown,M,Married,1986
171,171,42,No,travel_frequently,2,3,Unknown,M,Unknown,1981
172,172,45,No,Unknown,1,4,Unknown,M,Divorced,1978
173,173,30,Yes,travel_rarely,1,3,Unknown,M,Married,1993
174,174,38,No,travel_rarely,14,3,Life Sciences,M,Married,1985
175,175,50,No,Unknown,20,5,Medical,M,Unknown,1973
176,176,34,No,travel_rarely,3,3,Unknown,F,Unknown,1989
177,177,54,No,travel_rarely,22,5,Unknown,F,Unknown,1969
178,178,39,No,Unknown,1,3,Life Sciences,M,Married,1984
179,179,36,No,Unknown,10,3,Life Sciences,M,Unknown,1987
180,180,34,No,travel_rarely,8,2,Unknown,M,Unknown,1989
181,181,46,No,travel_rarely,2,2,Life Sciences,M,Divorced,1977
182,182,27,No,travel_rarely,23,1,Medical,F,Married,1996
183,183,31,No,Unknown,36,3,Life Sciences,M,Divorced,1992
184,184,45,No,travel_rarely,25,2,Life Sciences,F,Unknown,1978
185,185,34,No,travel_rarely,1,3,Marketing,M,Unknown,1989
186,186,35,No,Unknown,7,4,Unknown,F,Unknown,1988
187,187,39,No,travel_rarely,15,4,Marketing,M,Single,1984
188,188,40,No,travel_rarely,2,2,Marketing,F,Married,1983
189,189,47,No,Unknown,1,1,Unknown,F,Married,1976
190,190,49,No,travel_frequently,8,1,Unknown,M,Married,1974
191,191,33,No,travel_frequently,19,4,Life Sciences,F,Married,1990
192,192,42,No,Unknown,8,4,Unknown,M,Unknown,1981
193,193,31,No,Unknown,7,4,Life Sciences,M,Divorced,1992
194,194,31,No,travel_rarely,8,4,Unknown,F,Single,1992
195,195,51,No,Unknown,21,4,Marketing,M,Unknown,1972
196,196,34,Yes,travel_frequently,7,3,Unknown,M,Unknown,1989
197,197,36,No,Unknown,11,2,Technical Degree,F,Unknown,1987
198,198,30,No,travel_frequently,23,3,Unknown,M,Divorced,1993
199,199,33,No,non-travel,12,2,Unknown,M,Married,1990
200,200,31,Yes,Unknown,6,4,Life Sciences,M,Married,1992
201,201,41,No,travel_rarely,23,1,Unknown,M,Divorced,1982
202,202,26,No,travel_rarely,25,1,Unknown,F,Unknown,1997
203,203,32,No,Unknown,9,2,Unknown,M,Divorced,1991
204,204,40,No,travel_frequently,26,3,Unknown,F,Divorced,1983
205,205,53,No,travel_rarely,6,2,Marketing,M,Unknown,1970
206,206,33,No,travel_rarely,14,3,Unknown,F,Unknown,1990
207,207,51,No,travel_rarely,3,3,Unknown,F,Single,1972
208,208,27,No,travel_rarely,9,3,Medical,F,Single,1996
209,209,37,No,Unknown,21,3,Life Sciences,M,Unknown,1986
210,210,49,No,non-travel,18,4,Unknown,M,Divorced,1974
211,211,27,No,Unknown,20,3,Life Sciences,F,Single,1996
212,212,45,No,Unknown,6,3,Medical,F,Single,1978
213,213,35,No,Unknown,1,3,Unknown,F,Single,1988
214,214,52,No,Unknown,2,4,Life Sciences,M,Unknown,1971
215,215,38,No,non-travel,2,2,Life Sciences,M,Unknown,1985
216,216,46,No,Unknown,27,3,Unknown,F,Married,1977
217,217,47,Yes,non-travel,10,4,Life Sciences,M,Married,1976
218,218,35,No,Unknown,22,3,Life Sciences,F,Divorced,1988
219,219,29,No,travel_frequently,2,2,Unknown,M,Single,1994
220,220,55,No,travel_rarely,20,2,Technical Degree,M,Married,1968
221,221,26,Yes,travel_rarely,45,4,Unknown,M,Single,1997
222,222,31,No,travel_rarely,7,3,Technical Degree,M,Unknown,1992
223,223,43,No,travel_frequently,10,4,Life Sciences,F,Unknown,1980
224,224,31,No,travel_rarely,13,3,Marketing,M,Unknown,1992
225,225,33,No,Unknown,10,3,Unknown,M,Unknown,1990
226,226,43,No,travel_frequently,10,4,Life Sciences,F,Divorced,1980
227,227,29,Yes,travel_rarely,8,4,Unknown,M,Unknown,1994
228,228,27,No,Unknown,8,4,Unknown,F,Unknown,1996
229,229,26,No,travel_rarely,1,3,Unknown,M,Unknown,1997
230,230,40,No,travel_rarely,10,4,Life Sciences,F,Married,1983
231,231,41,Yes,Unknown,4,3,Unknown,M,Unknown,1982
232,232,51,No,travel_rarely,14,2,Unknown,F,Unknown,1972
233,233,41,No,travel_rarely,1,3,Marketing,M,Married,1982
234,234,35,No,travel_rarely,16,3,Life Sciences,M,Unknown,1988
235,235,48,No,travel_rarely,2,5,Unknown,F,Married,1975
236,236,26,Yes,travel_frequently,17,4,Life Sciences,F,Unknown,1997
237,237,41,No,Unknown,2,4,Other,F,Single,1982
238,238,34,No,Unknown,21,4,Unknown,M,Single,1989
239,239,31,No,travel_rarely,6,4,Medical,M,Divorced,1992
240,240,43,No,travel_frequently,9,5,Unknown,M,Divorced,1980
241,241,53,No,Unknown,1,1,Unknown,F,Single,1970
242,242,29,No,Unknown,1,4,Life Sciences,M,Divorced,1994
243,243,34,No,Unknown,9,3,Medical,F,Unknown,1989
244,244,39,No,Unknown,2,4,Technical Degree,F,Single,1984
245,245,32,No,Unknown,10,3,Marketing,M,Unknown,1991
246,246,38,No,travel_rarely,1,4,Life Sciences,F,Unknown,1985
247,247,27,No,travel_rarely,1,2,Life Sciences,F,Married,1996
248,248,47,No,Unknown,35,4,Marketing,M,Single,1976
249,249,27,No,travel_frequently,10,2,Unknown,M,Unknown,1996
250,250,41,No,Unknown,1,3,Unknown,M,Unknown,1982
251,251,36,No,Unknown,8,3,Unknown,F,Married,1987
252,252,30,No,Unknown,27,5,Marketing,M,Divorced,1993
253,253,56,No,travel_rarely,9,3,Unknown,M,Married,1967
254,254,45,No,travel_rarely,2,2,Unknown,M,Single,1978
255,255,36,No,non-travel,8,4,Unknown,M,Single,1987
256,256,29,No,Unknown,27,3,Medical,F,Married,1994
257,257,38,No,Unknown,2,4,Life Sciences,F,Single,1985
258,258,42,No,travel_frequently,8,3,Unknown,M,Unknown,1981
259,259,36,No,travel_rarely,1,3,Other,F,Unknown,1987
260,260,55,Yes,Unknown,2,1,Medical,M,Single,1968
261,261,44,No,Unknown,9,2,Unknown,M,Unknown,1979
262,262,41,Yes,Unknown,2,4,Life Sciences,F,Divorced,1982
263,263,31,No,travel_rarely,7,4,Unknown,M,Unknown,1992
264,264,26,No,travel_frequently,28,3,Medical,M,Unknown,1997
265,265,32,No,Unknown,3,4,Medical,F,Married,1991
266,266,36,Yes,travel_rarely,3,1,Life Sciences,M,Married,1987
267,267,45,No,non-travel,47,2,Unknown,M,Unknown,1978
268,268,36,No,non-travel,8,4,Technical Degree,M,Divorced,1987
269,269,54,No,travel_rarely,17,3,Technical Degree,F,Unknown,1969
270,270,30,No,travel_rarely,8,2,Unknown,F,Unknown,1993
271,271,26,No,Unknown,2,2,Medical,M,Married,1997
272,272,55,No,travel_frequently,18,4,Medical,M,Married,1968
273,273,32,No,non-travel,29,4,Unknown,F,Single,1991
274,274,53,No,travel_frequently,2,3,Marketing,F,Unknown,1970
275,275,55,No,Unknown,2,1,Unknown,M,Single,1968
276,276,28,Yes,non-travel,24,2,Unknown,M,Single,1995
277,277,28,No,travel_rarely,10,3,Other,F,Single,1995
278,278,35,Yes,Unknown,4,3,Technical Degree,M,Unknown,1988
279,279,33,Yes,travel_frequently,36,4,Medical,F,Single,1990
280,280,25,Yes,Unknown,4,1,Technical Degree,M,Married,1998
281,281,38,No,Unknown,10,4,Unknown,M,Unknown,1985
282,282,43,No,travel_frequently,27,3,Life Sciences,F,Married,1980
283,283,40,No,travel_rarely,14,3,Unknown,M,Unknown,1983
284,284,26,No,travel_rarely,3,4,Unknown,M,Unknown,1997
285,285,35,No,travel_rarely,2,3,Unknown,M,Divorced,1988
286,286,53,No,Unknown,7,2,Medical,F,Divorced,1970
287,287,35,No,Unknown,17,4,Life Sciences,M,Unknown,1988
288,288,33,No,Unknown,25,3,Medical,F,Unknown,1990
289,289,30,No,travel_rarely,7,4,Life Sciences,M,Divorced,1993
290,290,32,No,Unknown,2,2,Life Sciences,F,Single,1991
291,291,36,No,Unknown,1,3,Technical Degree,F,Divorced,1987
292,292,43,No,Unknown,3,3,Life Sciences,M,Unknown,1980
293,293,29,No,travel_rarely,1,3,Unknown,F,Divorced,1994
294,294,59,No,Unknown,24,4,Unknown,M,Single,1964
295,295,43,No,travel_rarely,4,4,Marketing,F,Single,1980
296,296,44,Yes,travel_rarely,15,3,Medical,F,Married,1979
297,297,39,No,travel_rarely,33,2,Unknown,M,Single,1984
298,298,34,No,Unknown,9,3,Unknown,M,Unknown,1989
299,299,38,No,Unknown,2,2,Life Sciences,F,Unknown,1985
300,300,36,No,travel_frequently,12,3,Marketing,F,Married,1987
301,301,35,No,Unknown,1,3,Unknown,F,Unknown,1988
302,302,34,No,Unknown,29,3,Unknown,M,Unknown,1989
303,303,43,No,Unknown,6,3,Medical,F,Single,1980
304,304,42,No,travel_rarely,10,3,Human Resources,F,Married,1981
305,305,26,No,travel_rarely,7,3,Unknown,M,Single,1997
306,306,29,Yes,Unknown,14,1,Other,F,Single,1994
307,307,54,No,Unknown,1,3,Unknown,F,Unknown,1969
308,308,55,No,Unknown,1,4,Unknown,M,Divorced,1968
309,309,46,Yes,Unknown,9,3,Marketing,M,Divorced,1977
310,310,45,No,travel_rarely,20,3,Medical,M,Unknown,1978
311,311,49,No,travel_rarely,7,4,Life Sciences,M,Divorced,1974
312,312,29,No,travel_rarely,19,3,Unknown,M,Unknown,1994
313,313,29,Yes,Unknown,1,4,Technical Degree,M,Single,1994
314,314,29,No,Unknown,8,1,Other,F,Unknown,1994
315,315,53,Yes,Unknown,2,5,Unknown,F,Married,1970
316,316,44,No,Unknown,7,3,Medical,F,Unknown,1979
317,317,45,No,Unknown,5,5,Unknown,F,Unknown,1978
318,318,45,No,non-travel,26,3,Marketing,M,Unknown,1978
319,319,34,No,travel_frequently,10,4,Unknown,M,Unknown,1989
320,320,27,No,Unknown,36,3,Unknown,M,Divorced,1996
321,321,45,No,travel_rarely,2,2,Unknown,F,Divorced,1978
322,322,44,No,Unknown,1,5,Unknown,M,Married,1979
323,323,25,No,Unknown,2,1,Life Sciences,M,Divorced,1998
324,324,48,Yes,travel_frequently,7,2,Unknown,F,Unknown,1975
325,325,26,No,Unknown,7,3,Medical,M,Unknown,1997
326,326,44,No,travel_rarely,2,3,Life Sciences,F,Unknown,1979
327,327,46,No,Unknown,13,4,Unknown,M,Single,1977
328,328,35,No,Unknown,27,4,Life Sciences,M,Married,1988
329,329,30,No,travel_frequently,2,4,Unknown,F,Unknown,1993
330,330,30,No,Unknown,15,2,Marketing,M,Unknown,1993
331,331,33,No,non-travel,2,3,Marketing,F,Unknown,1990
332,332,32,No,Unknown,5,4,Unknown,M,Single,1991
333,333,43,No,travel_rarely,2,3,Life Sciences,M,Unknown,1980
334,334,35,Yes,Unknown,27,3,Unknown,M,Unknown,1988
335,335,35,No,non-travel,2,2,Medical,M,Divorced,1988
336,336,30,No,Unknown,10,3,Medical,F,Single,1993
337,337,46,Yes,travel_rarely,19,2,Medical,F,Married,1977
338,338,43,No,travel_frequently,2,4,Life Sciences,M,Married,1980
339,339,46,Yes,Unknown,10,3,Life Sciences,F,Unknown,1977
340,340,27,No,travel_rarely,2,2,Unknown,F,Single,1996
341,341,42,No,Unknown,6,3,Medical,M,Married,1981
342,342,28,No,travel_frequently,1,2,Life Sciences,M,Married,1995
343,343,47,No,Unknown,14,4,Unknown,M,Married,1976
344,344,34,No,travel_rarely,13,4,Medical,M,Divorced,1989
345,345,26,No,Unknown,1,3,Medical,M,Single,1997
346,346,27,No,travel_rarely,9,3,Unknown,M,Unknown,1996
347,347,31,Yes,travel_frequently,26,4,Marketing,M,Unknown,1992
348,348,31,No,Unknown,10,3,Unknown,F,Married,1992
349,349,35,No,Unknown,9,4,Medical,M,Unknown,1988
350,350,33,No,travel_rarely,15,2,Unknown,F,Married,1990
351,351,39,No,travel_rarely,24,1,Life Sciences,M,Single,1984
352,352,41,No,travel_rarely,28,4,Life Sciences,F,Married,1982
353,353,34,No,Unknown,28,3,Marketing,F,Married,1989
354,354,39,No,travel_rarely,6,1,Unknown,M,Unknown,1984
355,355,34,No,travel_rarely,7,4,Unknown,F,Single,1989
356,356,46,No,Unknown,5,4,Unknown,M,Single,1977
357,357,41,No,travel_frequently,10,3,Life Sciences,M,Divorced,1982
358,358,39,No,Unknown,2,4,Unknown,F,Single,1984
359,359,42,No,travel_rarely,2,3,Medical,F,Divorced,1981
360,360,33,No,travel_frequently,5,4,Unknown,F,Married,1990
361,361,35,No,travel_rarely,5,4,Technical Degree,M,Single,1988
362,362,41,No,travel_rarely,10,4,Human Resources,M,Divorced,1982
363,363,27,No,Unknown,7,3,Unknown,F,Unknown,1996
364,364,51,No,travel_rarely,26,4,Marketing,F,Married,1972
365,365,47,No,travel_rarely,2,2,Marketing,F,Unknown,1976
366,366,50,No,non-travel,2,4,Unknown,M,Divorced,1973
367,367,35,No,travel_rarely,21,1,Life Sciences,F,Married,1988
368,368,39,No,travel_rarely,1,1,Unknown,F,Married,1984
369,369,41,No,Unknown,7,2,Unknown,F,Unknown,1982
370,370,42,No,Unknown,2,2,Medical,M,Unknown,1981
371,371,52,No,travel_rarely,7,4,Life Sciences,M,Single,1971
372,372,38,No,Unknown,1,3,Unknown,M,Unknown,1985
373,373,35,No,Unknown,4,4,Life Sciences,M,Single,1988
374,374,28,No,travel_rarely,29,1,Life Sciences,M,Married,1995
375,375,44,No,Unknown,28,3,Life Sciences,M,Married,1979
376,376,50,No,Unknown,22,5,Unknown,M,Unknown,1973
377,377,39,No,Unknown,6,3,Unknown,M,Married,1984
378,378,49,No,Unknown,13,4,Unknown,F,Unknown,1974
379,379,45,No,Unknown,28,2,Technical Degree,F,Single,1978
380,380,27,No,Unknown,15,3,Unknown,F,Married,1996
381,381,42,No,travel_rarely,2,3,Unknown,M,Married,1981
382,382,49,No,Unknown,2,3,Unknown,M,Married,1974
383,383,29,No,travel_rarely,15,2,Life Sciences,F,Single,1994
384,384,34,No,non-travel,12,4,Marketing,M,Unknown,1989
385,385,36,No,Unknown,11,3,Unknown,M,Single,1987
386,386,29,No,travel_rarely,15,3,Unknown,M,Unknown,1994
387,387,26,No,Unknown,1,3,Unknown,F,Unknown,1997
388,388,28,No,Unknown,9,4,Life Sciences,M,Single,1995
389,389,42,No,travel_frequently,30,4,Technical Degree,F,Married,1981
390,390,31,No,travel_rarely,2,1,Life Sciences,M,Unknown,1992
391,391,37,No,non-travel,9,4,Unknown,M,Divorced,1986
392,392,50,No,Unknown,3,3,Unknown,M,Married,1973
393,393,34,No,Unknown,1,2,Life Sciences,M,Unknown,1989
394,394,27,No,travel_frequently,3,1,Medical,F,Unknown,1996
395,395,25,No,Unknown,42,1,Unknown,F,Single,1998
396,396,34,No,Unknown,2,4,Unknown,F,Unknown,1989
397,397,35,No,Unknown,16,1,Medical,F,Unknown,1988
398,398,33,No,Unknown,1,4,Unknown,F,Married,1990
399,399,29,No,Unknown,28,4,Life Sciences,F,Divorced,1994
400,400,29,No,travel_frequently,10,3,Unknown,F,Divorced,1994
401,401,31,No,travel_rarely,11,2,Unknown,M,Married,1992
402,402,47,No,travel_rarely,1,3,Unknown,M,Unknown,1976
403,403,32,No,Unknown,1,4,Unknown,M,Married,1991
404,404,32,No,Unknown,2,3,Medical,M,Divorced,1991
405,405,29,No,travel_rarely,2,3,Life Sciences,M,Married,1994
406,406,56,No,Unknown,13,3,Unknown,M,Unknown,1967
407,407,28,No,Unknown,4,3,Medical,M,Unknown,1995
408,408,25,Yes,travel_rarely,5,3,Unknown,M,Single,1998
409,409,56,Yes,Unknown,14,4,Life Sciences,F,Unknown,1967
410,410,26,No,Unknown,6,3,Unknown,F,Married,1997
411,411,32,Yes,Unknown,9,3,Medical,F,Unknown,1991
412,412,30,No,travel_rarely,18,3,Life Sciences,F,Single,1993
413,413,50,No,travel_rarely,11,3,Unknown,F,Unknown,1973
414,414,32,No,Unknown,6,5,Life Sciences,M,Unknown,1991
415,415,45,No,travel_rarely,4,2,Unknown,F,Unknown,1978
416,416,43,No,Unknown,7,3,Unknown,M,Divorced,1980
417,417,29,Yes,Unknown,27,3,Marketing,F,Married,1994
418,418,31,No,non-travel,1,4,Medical,M,Unknown,1992
419,419,33,Yes,Unknown,14,3,Unknown,M,Married,1990
420,420,31,Yes,Unknown,29,2,Unknown,M,Unknown,1992
421,421,37,No,Unknown,6,4,Unknown,M,Unknown,1986
422,422,27,No,non-travel,1,1,Marketing,M,Unknown,1996
423,423,41,No,travel_rarely,6,3,Unknown,M,Single,1982
424,424,37,No,travel_rarely,10,3,Medical,F,Unknown,1986
425,425,40,Yes,Unknown,22,2,Unknown,M,Unknown,1983
